company,estimated_revenue_eur_million,city,sectors_active,website
EINHELL GERMANY,610,Landau,"Industrial, Electric & Electronic Machinery",http://www.einhell.com
EINS ENERGIE IN SACHSEN,1025,Chemnitz,Utilities,http://www.eins.de
EINSAMOBILE,613,Obertshausen,Wholesale,http://www.einsamobile.de
UNITED INTERNET,5291,Montabaur,Media & Broadcasting,http://www.einsundeins.com
EINTRACHT FRANKFURT FUSSBALL,178,Frankfurt,"Travel, Personal & Leisure",http://www.eintracht-frankfurt.de
FOODEXPLORER,303,Mettmann,Business Services,http://www.eismann.de
EISSMANN AUTOMOTIVE DEUTSCHLAND,474,Bad Urach,Transport Manufacturing,http://www.eissmann.com
EJF GEMEINNUETZIGE,194,Berlin,"Public Administration, Education, Health Social Services",http://www.ejf.de
EJOT HOLDING,558,Bad Berleburg,Business Services,http://www.ejot.de
EKOM-RAR,406,Walldorf,Wholesale,http://www.ekosem-agrar.de
EKOTECHNIKA,158,Walldorf,"Industrial, Electric & Electronic Machinery",http://www.ekotechnika.de
ELBE FLUGZEUGWERKE,312,Dresden,Business Services,http://www.elbeflugzeugwerke.com
ELBKINDER VEREINIGUNG HAMBURGER KITAS G,377,Hamburg,"Public Administration, Education, Health Social Services",http://www.elbkinder-kitas.de
EMSCHER LIPPE ENERGIE,332,Gelsenkirchen,Utilities,http://www.ele.de
ELECTROLUX DEUTSCHLAND,998,Nuernberg,Business Services,http://www.electrolux.de
ELECTRONICPARTNER HANDEL,1078,Duesseldorf,Business Services,http://www.electronicpartner.com
ELEVION DEUTSCHLAND HOLDING,350,Jena,Business Services,http://www.elevion.de
ELG HANIEL,1845,Duisburg,Business Services,http://www.elg.de
ST. ELISABETH GRUPPE KATHOLISCHE KLINIKEN RHEIN-RUHR,443,Herne,"Public Administration, Education, Health Social Services",http://www.elisabethgruppe.de
ELISABETH VINZENZ VERBUND,876,Berlin,"Public Administration, Education, Health Social Services",http://www.elisabeth-vinzenz.de
ELMOS MICONDUCTOR,296,Dortmund,"Industrial, Electric & Electronic Machinery",http://www.elmos.de
ELOFILL,421,Speyer,"Industrial, Electric & Electronic Machinery",http://www.elopak.de
ELRINGKLINGER,1760,Dettingen/Erms,Transport Manufacturing,http://www.elringklinger.de
ELSTER,388,Mainz-Kastel,Business Services,http://www.elster-instromet.com
ELUMATEC,139,Muehlacker,"Industrial, Electric & Electronic Machinery",http://www.elumatec.com
EMAG,522,Salach,Business Services,http://www.emag.com
DONALDSON FILTRATION DEUTSCHLAND,339,Haan,"Industrial, Electric & Electronic Machinery",http://www.emea.donaldson.com
EMERSON CLIMATE TECHNOLOGIES,341,Berlin,Metals & Metal Products,http://www.emersonclimate.com
E. M. GROUP HOLDING,154,Wertingen,Business Services,http://www.em-group.de
EMIL FREY AUTOMOBIL,3953,Stuttgart,Business Services,http://www.emilfrey.de
EMONS HOLDING,504,Koeln,Business Services,http://www.emons.com
EMRA-MED ARZNEIMITTEL,384,Trittau,Wholesale,http://www.emramed.de
LANDGEFLUEGEL FG VERTRIEBSGESELLSCHAFT,763,Haren,Wholesale,http://www.emsland-frischgefluegel.de
BETEILIGUNGSGELLSCHAFT EMSLAND-STAERKE,657,Emlichheim,Business Services,http://www.emsland-group.de
ENBW,19338,Karlsruhe,Utilities,http://www.enbw.com
ENCAVIS,288,Hamburg,"Banking, Insurance & Financial Services",http://www.encavis.com
ENDURANCE CAPITAL,277,Muenchen,Business Services,http://www.endurance-capital.de
ENERCITY,3179,Hannover,Utilities,http://www.enercity.de
ENERCITY NETZ,352,Hannover,Utilities,http://www.enercity-netz.de
ENERCON,4049,Aurich,"Industrial, Electric & Electronic Machinery",http://www.enercon.de
ENERGIE VERTRIEB DEUTSCHLAND EVD,580,Hamburg,Utilities,http://www.energiedeutschland.de
ENERGIEDIENST,538,Rheinfelden,Utilities,http://www.energiedienst.de
ENERGIENETZE MITTELRHEIN,302,Koblenz,"Industrial, Electric & Electronic Machinery",http://www.energienetze-mittelrhein.de
EAM NETZ,983,Kassel,Utilities,http://www.energienetz-mitte.de
ENERGIE SAARLORLUX,264,Saarbruecken,Utilities,http://www.energie-saarlorlux.com
ENERGIEUNION,1333,Schwerin,Utilities,http://www.energieunion.de
ENERGIS,331,Saarbruecken,Utilities,http://www.energis.de
ENERPARC,323,Hamburg,"Industrial, Electric & Electronic Machinery",http://www.enerparc.com
SUEDWESTFALEN ENERGIE UND WASR,989,Hagen,Business Services,http://www.enervie-gruppe.de
ENERVIE VERNETZT,298,Hagen,Utilities,http://www.enervie-vernetzt.de
E-NETZ SUEDHESSEN,376,Darmstadt,Utilities,http://www.e-netz-suedhessen.de
ENGAGEMENT GLOBAL G,323,Bonn,"Public Administration, Education, Health Social Services",http://www.engagement-global.de
ENGEL & VOELKERS,136,Hamburg,Business Services,http://www.engelvoelkers.com
ENGIE DEUTSCHLAND,1938,Koeln,Construction,http://www.engie-deutschland.de
ENI DEUTSCHLAND,2483,Muenchen,Wholesale,http://www.eni.com
ENOVOS ENERGIE DEUTSCHLAND,871,Wiesbaden,Utilities,http://www.enovos-energie.de
ENSINGER HOLDING,461,Nufringen,Business Services,http://www.ensingerplastics.com
ENSO ENERGIE SACHN OST,1112,Dresden,Utilities,http://www.enso.de
ENSO NETZ,718,Dresden,Construction,http://www.enso-netz.de
ENSOXX HOLDING,214,Gunzenhausen,Business Services,http://www.ensoxx.de
ENTEGA,412,Darmstadt,Utilities,http://www.entega.ag
ENTEGA PLUS,1136,Darmstadt,Utilities,http://www.entega.de
ENTERPRISE AUTOVERMIETUNG DEUTSCHLAND,631,Eschborn,"Travel, Personal & Leisure",http://www.enterprise.de
VERIZON DEUTSCHLAND,286,Dortmund,Communications,http://www.enterprise.verizon.com/de-de
ENVIA MITTELDEUTSCHE ENERGIE,2369,Chemnitz,Utilities,http://www.enviam.de
ENVITEC BIOGAS,198,Lohne,Utilities,http://www.envitec-biogas.de
E.ON,42572,Essen,Utilities,http://www.eon.com
E.OPTIMUM,614,Offenburg,Utilities,http://www.eoptimum.de
EOS HOLDING,365,Krailling,Business Services,http://www.eos.info
TRANSACT ELEKTRONISCHE ZAHLUNGSSYSTEME,344,Planegg,"Banking, Insurance & Financial Services",http://www.epay.de
EPPENDORF,748,Hamburg,"Industrial, Electric & Electronic Machinery",http://www.eppendorf.com
EPRIMO,937,Neu-Isenburg,Utilities,http://www.eprimo.de
EPSON DEUTSCHLAND,350,Meerbusch,Wholesale,http://www.epson.de
EQUIPOLYMERS,379,Schkopau,"Chemicals, Petroleum, Rubber & Plastic",http://www.equipolymers.com
PARON,150,Bad Homburg,Business Services,http://www.equita.de
ERDGAS MUENSTER,837,Muenster,Utilities,http://www.erdgas-muenster.de
ERDGAS SCHWABEN,349,Augsburg,Utilities,http://www.erdgasschwaben.de
ERDRICH BETEILIGUNGS-HOLDING,356,Renchen,Business Services,http://www.erdrich-umformtechnik.de
ITERGO INFORMATIONSTECHNOLOGIE,712,Duesseldorf,Business Services,http://www.ergo.com
ERGO GROUP,2464,Duesseldorf,Business Services,http://www.ergo.de
ERGO KRANKENVERSICHERUNG,539,Nurnberg,"Banking, Insurance & Financial Services",http://www.ergodirekt.de
ERICSSON,554,Duesseldorf,Business Services,http://www.ericsson.de
ERIK WALTHER W.J. MINERALOELHANDELSGESELLSCHAFT,622,Schweinfurt,Wholesale,http://www.erik-walther.de
HES PRAEZISIONSTEILE HERMANN ERKERT G.M.B.H.,317,Sulzbach,Metals & Metal Products,http://www.erkert.de
EHG SERVICE,1007,Coesfeld,Business Services,http://www.ernstings-family.de
ERWO HOLDING,735,Schwaig,Business Services,http://www.erwo.de
ENERGIE SUEDBAYERN,714,Muenchen,Utilities,http://www.esb.de
ESG ELEKTRONIKSYSTEM- UND LOGISTIK-GESELLSCHAFT MIT BESCHRAENKTER,333,Muenchen,Computer Software,http://www.esg.de
ESPRIT EUROPE SERVICES,752,Ratingen,Wholesale,http://www.esprit.com
ESPRIT RETAIL B.V.,753,Ratingen,Wholesale,http://www.esprit.de
ESSO DEUTSCHLAND,6181,Hamburg,Mining & Extraction,http://www.esso.de
ERLANGER STADTWERKE,180,Erlangen,Utilities,http://www.estw.de
ESWE VERSORGUNGS,401,Wiesbaden,Utilities,http://www.eswe-versorgung.de
DIADUR,430,Traunreut,"Banking, Insurance & Financial Services",http://www.etelgmbh.de
ETENGO (DEUTSCHLAND),134,Mannheim,Business Services,http://www.etengo.de
ETL STEUERBERATUNGSGELLSCHAFT,291,Essen,Business Services,http://www.etl.de
PANASONIC AUTOMOTIVE SYSTEMS EUROPE,830,Langen,"Industrial, Electric & Electronic Machinery",http://www.eu.automotive.panasonic.com
MITSUBISHI HITACHI POWER SYSTEMS EUROPE,288,Duisburg,Metals & Metal Products,http://www.eu.mhps.com
MITSUI CHEMICALS EUROPE,333,Duesseldorf,Wholesale,http://www.eu.mitsuichem.com
VARTA CONSUMER BATTERIES AA,551,Ellwangen,"Industrial, Electric & Electronic Machinery",http://www.eu.spectrumbrands.com
EULER HERMES,139,Hamburg,"Public Administration, Education, Health Social Services",http://www.eulerhermes.de
EUREX FRANKFURT,262,Eschborn,"Banking, Insurance & Financial Services",http://www.eurexchange.com
EURIMPHARM ARZNEIMITTEL,367,Saaldorf-Surheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.eurim.de
EUROBAUSTOFF,5652,Karlsruhe,Retail,http://www.eurobaustoff.de
EUROCHEM AGRO,1249,Mannheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.eurochemagro.com
EURO COMFORT HOLDING,365,Bocholt,Textiles & Clothing Manufacturing,http://www.eurocomfort.de
AIRBUS HELICOPTERS TIGER,372,Donauwoerth,Transport Manufacturing,http://www.eurocopter.de
EUROFIGHTER JAGDFLUGZEUG,3415,Hallbergmoos,Business Services,http://www.eurofighter.com
EUROGRID,10773,Berlin,Business Services,http://www.eurogrid-.de
EUROGROUP DEUTSCHLAND,809,Langenfeld,Wholesale,http://www.eurogroupde.eu
EUROIMMUN MEDIZINISCHE LABORDINOSTIKA,240,Luebeck,"Chemicals, Petroleum, Rubber & Plastic",http://www.euroimmun.de
EUROJET TURBO GESELLSCHAFT MIT BESCHRAENKTER,389,Hallbergmoos,Business Services,http://www.eurojet.de
EUROMICRON,325,Frankfurt Am Main,"Industrial, Electric & Electronic Machinery",http://www.euromicron.de
EUROPA LEBENSVERSICHERUNG,368,Koln,"Banking, Insurance & Financial Services",http://www.europa.de
EUROPA-PARK & CO MACK KG,312,Rust,"Travel, Personal & Leisure",http://www.europapark.de
EUROPART GROUP,459,Hagen,Business Services,http://www.europart.net
EUROPCAR AUTOVERMIETUNG,1108,Hamburg,"Travel, Personal & Leisure",http://www.europcar.de
EUROPCELL HOLDING,302,Hanau,Business Services,http://www.europcell.com
EUROPIPE,998,Muelheim,Metals & Metal Products,http://www.europipe.com
EPI EUROPROP INTERNATIONAL,473,Muenchen,Transport Manufacturing,http://www.europrop-int.com
EUROVIA TEERBAU,352,Bottrop,Construction,http://www.eurovia.de
ENERGIEVERSORGUNGS- UND VERKEHRSGESELLSCHAFT MIT BESCHRAENKTER AACHEN,709,Aachen,Business Services,http://www.eva-aachen.de
CTS EVENTIM,1471,Bremen,"Travel, Personal & Leisure",http://www.eventim.de
EVH,435,Halle,Utilities,http://www.evh.de
EVANGELISCHE HEIMSTIFTUNG,401,Stuttgart,"Public Administration, Education, Health Social Services",http://www.ev-heimstiftung.de
EVANGELISCHES KLINIKUM BETHEL G,334,Bielefeld,"Public Administration, Education, Health Social Services",http://www.evkb.de
ENERGIEVERSORGUNG MITTELRHEIN,731,Koblenz,Utilities,http://www.evm.de
ENERGIEVERSORGUNG OFFENBACH,295,Offenbach,Utilities,http://www.evo-ag.de
ENERGIEVERSORGUNG OBERHAUN,210,Oberhausen,Utilities,http://www.evo-energie.de
EVONIK INDUSTRIES,13443,Essen,"Chemicals, Petroleum, Rubber & Plastic",http://www.evonik.de
EVOTEC,524,Hamburg,Biotechnology and Life Sciences,http://www.evotec.com
EVANGELISCHER VERBUND RUHR GEMEINNUETZIGE,344,Herne,"Public Administration, Education, Health Social Services",http://www.ev-verbund-ruhr.de
ESSENER VERSORGUNGS- UND VERKEHRSGESELLSCHAFT (EVV),692,Essen,Business Services,http://www.evv-online.de
EWE,5879,Oldenburg,Business Services,http://www.ewe.de
EWE NETZ,2784,Oldenburg,Utilities,http://www.ewe-netz.de
ELEKTRIZITAETSWERK MITTELBADEN VERWALTUNGS,308,Lahr,Business Services,http://www.e-werk-mittelbaden.de
EWE,6220,Oldenburg,Business Services,http://www.ewe-verband.de
EW GROUP,2594,Visbek,Business Services,http://www.ew-group.de
E WIE EINFACH,341,Koeln,Utilities,http://www.e-wie-einfach.de
ENERGIE- UND WASSERVERSORGUNG MITTLERES RUHRGEBIET,1385,Bochum,Utilities,http://www.ewmr.de
EWN ENTSORGUNGSWERK FUER NUKLEARANLAGEN,416,Rubenow,"Industrial, Electric & Electronic Machinery",http://www.ewn-.de
ENERGIE UND WASSER POTSDAM,287,Potsdam,Utilities,http://www.ewp-potsdam.de
EWR,368,Worms,Utilities,http://www.ewr.de
EXIDE TECHNOLOGIES,380,Buedingen,Wholesale,http://www.exide.com
EXIMO RO-MARKETING,152,Hamburg,Wholesale,http://www.eximo.de
EXPERT,1880,Langenhagen,Wholesale,http://www.expert.de
EXTRAENERGIE,508,Monheim,Business Services,http://www.extraenergie.com
MOBIL ERDGAS-ERDOEL,383,Hamburg,Business Services,http://www.exxonmobil.com
EXXONMOBIL GAS MARKETING DEUTSCHLAND,667,Hamburg,Mining & Extraction,http://www.exxonmobil.de
EY,2092,Stuttgart,Business Services,http://www.ey.com
ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK,181,Berlin,Wholesale,http://www.ezag.de
FABER-CASTELL,606,Stein,Business Services,http://www.faber-castell.de
KLAUS FABER,320,Saarbruecken,"Industrial, Electric & Electronic Machinery",http://www.faberkabel.de
FACEBOOK GERMANY,442,Hamburg,Business Services,http://www.facebook.de
FAIRENERGIE,296,Reutlingen,Utilities,http://www.fairenergie.de
FALKEN TYRE EUROPE,344,Offenbach,Retail,http://www.falken-europe.de
GEBR. FASSMER,188,Berne,Business Services,http://www.fassmer.de
FAUN UMWELTTECHNIK,413,Osterholz-Scharmbeck,Transport Manufacturing,http://www.faun.com
FAURECIA AUTOMOTIVE,2029,Stadthagen,Business Services,http://www.faurecia.com
FAZIT-STIFTUNG GEMEINNUETZIGE VERLAGSGESELLSCHAFT,344,Frankfurt,"Public Administration, Education, Health Social Services",http://www.fazit-stiftung.de
FCA BANK DEUTSCHLAND,457,"Heilbronn, Neckar","Banking, Insurance & Financial Services",http://www.fcabank.de
F.C. BAYERN MUENCHEN,682,Muenchen,"Travel, Personal & Leisure",http://www.fcbayern.de
FERDINAND BILSTEIN,480,Ennepetal,Wholesale,http://www.febi.com
ROLF FEHRER GESELLSCHAFT MIT BESCHRAENKTER,668,Kitzingen,Business Services,http://www.fehrer.com
KAEFER,140,Parsdorf,Business Services,http://www.feinkost-kaefer.de
FELIX SCHOELLER HOLDING,842,Osnabrueck,Business Services,http://www.felix-schoeller.com
AGCO,648,Marktoberdorf,"Industrial, Electric & Electronic Machinery",http://www.fendt.com
FENEBERG LEBENSMITTEL,435,Kempten,Retail,http://www.feneberg.de
ESF ELBE-STAHLWERKE FERALPI,515,Riesa,Metals & Metal Products,http://www.feralpi.de
FERCHAU,689,Gummersbach,Business Services,http://www.ferchau.de
FERCHAU HOLDING,974,Gummersbach,Business Services,http://www.ferchau-online.de
FERRERO MIDDLE AND EASTERN EUROPE,5083,Frankfurt,Business Services,http://www.ferrero.de
FERRING,337,Kiel,"Chemicals, Petroleum, Rubber & Plastic",http://www.ferring.de
"FESER, GRAF & CO. AUTOMOBIL HOLDING",954,Nuernberg,Business Services,http://www.feser-graf-gruppe.de
FESTO BETEILIGUNGEN,3398,Esslingen,Business Services,http://www.festo.com
FEV GROUP,673,Aachen,Business Services,http://www.fev.com
FFG EUROPEAN AND AMERICAN HOLDINGS,490,Eislingen,Business Services,http://www.ffg-ea.com
FINANZ INFORMATIK,1972,Frankfurt,Business Services,http://www.f-i.de
FCA GERMANY,2763,Frankfurt,Wholesale,http://www.fiat.de
FIDUCIA & GAD IT,1695,Frankfurt,Computer Software,http://www.fiduciagad.de
LEOPOLD FIEBIG,329,Rheinstetten,Wholesale,http://www.fiebig.de
FIELMANN,1539,Hamburg,"Industrial, Electric & Electronic Machinery",http://www.fielmann.de
FIWA,209,Tuerkheim,Business Services,http://www.finsterwalder.com
FIN TECH GROUP,127,Kulmbach,"Banking, Insurance & Financial Services",http://www.fintechgroup.com
HEINRICH FIP,372,Osnabrueck,Wholesale,http://www.fip.de
FIRST NSOR,162,Berlin,"Industrial, Electric & Electronic Machinery",http://www.first-sensor.com
FISCHER HOLDING,864,Waldachtal,Business Services,http://www.fischerwerke.de
FINANZ INFORMATIK TECHNOLOGIE SERVICE,345,Haar,Business Services,http://www.f-i-ts.de
FLEETCOR DEUTSCHLAND,401,Frankfurt,"Travel, Personal & Leisure",http://www.fleetcor.de
FLEGGAARD,484,Harrislee,Property Services,http://www.fleggaard.dk
FRANZ BETEILIGUNGSGESELLSCHAFT,690,Koeln,Business Services,http://www.fleischhauer.com
FLEX-N-GATE GERMANY,306,Ingolstadt,Transport Manufacturing,http://www.flex-n-gate.com
FRANKFURT MUNCHENER LEBENSVERSICHERUNG,183,Munchen,"Banking, Insurance & Financial Services",http://www.flgruppe.de
FLINT GROUP GERMANY,326,Stuttgart,Wholesale,http://www.flintgrp.com
FLIXMOBILITY,563,Muenchen,"Transport, Freight & Storage",http://www.flixbus.de
CARMEILE,147,Wuppertal,Business Services,http://www.flohmarkt-wuppertal.de
FLOTTWEG,208,Vilsbiburg,"Industrial, Electric & Electronic Machinery",http://www.flottweg.com
FLS GERMANY HOLDING,319,Pinneberg,Business Services,http://www.flsmidth.com
FLUGHAFEN STUTTGART GESELLSCHAFT MIT BESCHRAENKTER,326,Stuttgart,"Transport, Freight & Storage",http://www.flughafen-stuttgart.de
F&F BETEILIGUNGS-VERWALTUNGS,357,Veitshoechheim,Business Services,http://www.flyeralarm.com
FLYERALARM,332,Wuerzburg,Printing & Publishing,http://www.flyeralarm.de
FRENIUS MEDICAL CARE,17502,Bad Homburg,"Industrial, Electric & Electronic Machinery",http://www.fmc-ag.com
FOCKE & CO. ( ),538,Verden,,http://www.focke.com
NEW NIEDERRHEIN ENERGIE UND WASSER,624,Moenchengladbach,Utilities,http://www.fohlenstrom.de
FORD DEUTSCHLAND HOLDING,22585,Koeln,Business Services,http://www.ford.de
FORFARMERS,2368,Vechta,Business Services,http://www.forfarmers.de
FORMEL D VERWALTUNGS,329,Troisdorf,Business Services,http://www.formeld.com
FOSSIL (EUROPE),320,Grabenstaett,Wholesale,http://www.fossil.de
FRAMATOME,707,Erlangen,Business Services,http://www.framatome.com
FRANCOTYP-POSTALIA HOLDING,209,Birkenwerder,Communications,http://www.francotyp.com
FRANKE DEUTSCHLAND HOLDING,511,Bad Saeckingen,Business Services,http://www.franke.com
FRAPORT FRANKFURT AIRPORT,3740,Frankfurt Am Main,"Transport, Freight & Storage",http://www.fraport.de
FREENET,2998,Budelsdorf,Communications,http://www.freenet.ag
FRENIUS,35863,Bad Homburg V.D.H.,Health Care Facilities and Services,http://www.fresenius.de
ALLEGRO INVEST,1628,Krefeld,Business Services,http://www.fressnapf.de
FREUDENBERG,9773,Weinheim,Business Services,http://www.freudenberg.de
FREUDENBERG FILTRATION TECHNOLOGIES,2037,Weinheim,"Industrial, Electric & Electronic Machinery",http://www.freudenberg-filter.de
FEUDENBERG PERFORMANCE MATERIALS HOLDING,937,Weinheim,Business Services,http://www.freudenberg-nw.com
FREUDENBERG PERFORMANCE MATERIALS,936,Weinheim,Textiles & Clothing Manufacturing,http://www.freudenberg-nw.de
"DUESER, GRAMBART, V. D. LINDE",353,Oldenburg,Business Services,http://www.freylind.de
GPS BETEILIGUNGS,3306,Mannheim,Business Services,http://www.friatec.de
FRICKE GROUP,843,Heeslingen,Wholesale,http://www.fricke.de
FRISCHLI MILCHWERKE,539,Rehburg-Loccum,Wholesale,http://www.frischli.de
FRISCHPACK,310,Tuntenhausen,Wholesale,http://www.frischpack.de
FRITZ BAUSTOFFE,315,Rimsting,Retail,http://www.fritz-baustoffe.de
FMI,434,Aying,Business Services,http://www.fritzmeier.de
CAM EISENHOLDING,780,Stadtallendorf,Business Services,http://www.fritzwinter.de
FRONERI SCHOELLER,353,Nuernberg,Food & Tobacco Manufacturing,http://www.froneri-schoeller.de
FROSTA,531,Bremerhaven,Wholesale,http://www.frosta-ag.com
FROZEN FISH INTERNATIONAL,290,Bremerhaven,Food & Tobacco Manufacturing,http://www.frozenfish.de
FRUCHTHOF NAGEL,621,Neu-Ulm,Wholesale,http://www.fruchthof.de
FUDE + SERRAHN MILCHPRODUKTE,1131,Hamburg,Wholesale,http://www.fs-milchprodukte.de
FREUDENBERG SEALING TECHNOLOGIES,2375,Weinheim,Transport Manufacturing,http://www.fst.com
FTI TOURISTIK,3254,Muenchen,"Travel, Personal & Leisure",http://www.fti.de
RUDOLF FUCHS,2641,Mannheim,"Banking, Insurance & Financial Services",http://www.fuchs.com
DF WORLD OF SPICES,546,Dissen,Wholesale,http://www.fuchs-gewuerze.de
FUCHS PETROLUB,2595,Mannheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.fuchs-oil.de
FUER SIE LEBENSMITTELHANDEL-VERWALTUNGSGESELLSCHAFT,1012,Koeln,Wholesale,http://www.fuer-sie-eg.de
FUJIFILM EUROPE,382,Duesseldorf,Wholesale,http://www.fujifilm.de
FUJITSU TECHNOLOGY SOLUTIONS,2829,Muenchen,Wholesale,http://www.fujitsu.com
FUNKE MEDIENGRUPPE AA,1294,Essen,,http://www.funkemedien.de
FORSCHUNGSZENTRUM JUELICH,654,Juelich,Biotechnology and Life Sciences,http://www.fz-juelich.de
GABOR SHOES,336,Rosenheim,Textiles & Clothing Manufacturing,http://www.gabor.de
G IMMOBILIEN,392,Koeln,Property Services,http://www.gag-koeln.de
GALERIA KARSTADT KAUFHOF,2344,Essen,Retail,http://www.galeria.de
GARDENA MANUFACTURING,1080,Ulm,"Chemicals, Petroleum, Rubber & Plastic",http://www.gardena.com
GARDNER DENVER DEUTSCHLAND,304,Bad Neustadt,"Industrial, Electric & Electronic Machinery",http://www.gardnerdenver.com
GARMO,160,Stuttgart,Wholesale,http://www.garmo.de
UNIVERSAL UTILITY INTERNATIONAL,1195,Kaarst,Utilities,http://www.gas.de
GASAG,1265,Berlin,Utilities,http://www.gasag.de
GAS-UNION,4912,Frankfurt,Utilities,http://www.gas-union.de
GATEWAY REAL ESTATE,190,Frankfurt Am Main,Property Services,http://www.gateway-re.de
GAULMANN,1816,Espelkamp,Business Services,http://www.gauselmann.com
KOENA,434,Muenster,Business Services,http://www.gautzsch.de
GAZPROM GERMANIA,27877,Berlin,Utilities,http://www.gazprom-germania.de
DAWONIA REAL ESTATE,693,Muenchen,Business Services,http://www.gbw-gruppe.de
GRIES DECO HOLDING,473,Niedernberg,Retail,http://www.g-d-c.eu
GENERAL ELECTRIC DEUTSCHLAND HOLDING,2261,Frankfurt,Business Services,http://www.ge.com
GEA GROUP,4907,Dusseldorf,Business Services,http://www.geagroup.com
GEBERIT PRODUKTIONS,1027,Pfullendorf,"Chemicals, Petroleum, Rubber & Plastic",http://www.geberit.de
GEBR. HEINEMANN VERWALTUNGS,3467,Hamburg,Business Services,http://www.gebr-heinemann.de
GEBR. DINGERKUS,702,Attendorn,Property Services,http://www.gedia.com
GEFO GESELLSCHAFT FUER OELTRANSPORTE,399,Hamburg,"Transport, Freight & Storage",http://www.gefo.com
GEGENBAUER HOLDING,761,Berlin,Business Services,http://www.gegenbauer.de
GE HEALTHCARE EUROPE,601,Freiburg,Wholesale,http://www.gehealthcare.com
GE HEALTHCARE,416,Solingen,Wholesale,http://www.gehealthcare.de
GEIS HOLDING,854,Bad Neustadt,Business Services,http://www.geis-group.com
GELITA,770,Eberbach,"Chemicals, Petroleum, Rubber & Plastic",http://www.gelita.com
GELNWASSER,2964,Gelsenkirchen,Utilities,http://www.gelsenwasser.de
THALES DIS AIS DEUTSCHLAND,359,Muenchen,"Industrial, Electric & Electronic Machinery",http://www.gemalto.com/iot
BAKER HUGHES DIGITAL SOLUTIONS,391,Huerth,Wholesale,http://www.gemeasurement.com/inspection-ndt
GEMEINSCHAFTSKLINIKUM MITTELRHEIN G.,307,Koblenz,"Public Administration, Education, Health Social Services",http://www.gemeinschaftsklinikum.de
GEMUESERING STUTTGART,1082,Stuttgart,Wholesale,http://www.gemuesering.de
GEMUE HOLDING & CO.KG,352,Ingelfingen,Business Services,http://www.gemu-group.com
PROXALTO LEBENSVERSICHERUNG,2751,Munchen,"Banking, Insurance & Financial Services",http://www.generali.de
GENERALI DEUTSCHLAND INFORMATIK SERVICES,306,Aachen,Business Services,http://www.generali-informatik.de
GENERALI DEUTSCHLAND PENSIONSKAS,123,Aachen,"Banking, Insurance & Financial Services",http://www.generali-pensionskasse.de
GENTHERM ENTERPRISES,445,Odelzhausen,Wholesale,http://www.gentherm-heizelemente.de
GEODIS FF GERMANY,299,Hamburg,"Transport, Freight & Storage",http://www.geodiswilson.com
ARCELORMITTAL COMMERCIAL GERMANY,1938,Koeln,Business Services,http://www.germany.arcelormittal.com
GERRESHEIMER,1510,Dusseldorf,"Leather, Stone, Clay & Glass products",http://www.gerresheimer.com
GERRY WEBER INTERNATIONAL,498,Halle/Westfalen,Textiles & Clothing Manufacturing,http://www.gerryweber-ag.de
GESCO,442,Wuppertal,"Industrial, Electric & Electronic Machinery",http://www.gesco.de
GESOBAU,306,Berlin,Property Services,http://www.gesobau.de
GESTAMP UMFORMTECHNIK,506,Ludwigsfelde,Metals & Metal Products,http://www.gestamp-umformtechnik.de
GESUNDHEIT NORD G KLINIKVERBUND BREMEN,740,Bremen,Business Services,http://www.gesundheitnord.de
GESUNDHEIT NORDHESN HOLDING,444,Kassel,Business Services,http://www.gesundheit-nordhessen.de
CIDRON GLORIA INVESTMENT,596,Ahrensburg,Business Services,http://www.gesundheits.de
G+E GETEC HOLDING,641,Magdeburg,Business Services,http://www.getec.de
GETEC ENERGIE,865,Hannover,Utilities,http://www.getec-energie.de
GETRAG FORD TRANSMISSIONS,1121,Koeln,Metals & Metal Products,http://www.getrag.com
GETREIDE- VORM. P. KRU - CHR. SIECK,653,Hamburg,Wholesale,http://www.getreide-ag.de
GEWI,152,Hannover,Utilities,http://www.gewi-ag.de
GEWOBA WOHNEN UND BAUEN,275,Bremen,Property Services,http://www.gewoba.de
GEWOB WOHNUNGSBAU- BERLIN,441,Berlin,Property Services,http://www.gewobag.de
GEZE,463,Leonberg,Metals & Metal Products,http://www.geze.de
GFK,1330,Nuernberg,Business Services,http://www.gfk.com
GFT TECHNOLOGIES,439,Stuttgart,Business Services,http://www.gft.com
GGEW GRUPPEN-GAS UND ELEKTRIZITAETSWERK BERGSTRAS,261,Bensheim,Utilities,http://www.ggew.de
GIESECKE+DEVRIENT GESELLSCHAFT MIT BESCHRAENKTER,2300,Muenchen,Printing & Publishing,http://www.gieseckedevrient.com
GIGAT,271,Munchen,Wholesale,http://www.gigaset.com
GILEAD SCIENCES,467,Planegg,Wholesale,http://www.gilead.com
TENNECO,781,Edenkoben,"Industrial, Electric & Electronic Machinery",http://www.gillet.com
GIM EXPORT GROUP,285,Goettingen,Wholesale,http://www.gimexport.com
GIZ,2568,Eschborn,"Public Administration, Education, Health Social Services",http://www.giz.de
GKG MINERALOEL HANDEL,613,Stuttgart,Wholesale,http://www.gkg-oel.de
