company,estimated_revenue_eur_million,city,sectors_active,website
ALEXION PHARMA GERMANY,312,Muenchen,Wholesale,http://www.alexion.com
ALFMEIER PRAEZISION,237,Treuchtlingen,Transport Manufacturing,http://www.alfmeier.de
AL-KO KOBER,523,Koetz,Business Services,http://www.al-ko.de
ALL4LABELS GROUP,401,Witzhave,Business Services,http://www.all4labels.com
ALLFINANZ DEUTSCHE VERMOEGENSBERATUNG,203,Frankfurt,"Banking, Insurance & Financial Services",http://www.allfinanz-dvag.com
ALL FOR ONE GROUP,351,Filderstadt-Bernhausen,Business Services,http://www.all-for-one.com
ALLGAIER WERKE,481,Uhingen,Business Services,http://www.allgaier-group.com
ALLGEIER,795,Munchen,Business Services,http://www.allgeier.com
ALLGEMEINE GOLD UND SILBERSCHEIDEANSTALT,794,Pforzheim,Mining & Extraction,http://www.allgemeine-gold.de
ALLGUTH,289,Graefelfing,Retail,http://www.allguth.de
ALLIANZ,82904,Munchen,"Banking, Insurance & Financial Services",http://www.allianz.com
ALLIANZ GLOBAL INVESTORS,2531,Frankfurt,,http://www.allianzglobalinvestors.de
MARELLI AUTOMOTIVE LIGHTING REUTLINGEN (GERMANY),875,Reutlingen,"Industrial, Electric & Electronic Machinery",http://www.al-lighting.com
ALLTOURS FLUGREISEN,1491,Duesseldorf,"Travel, Personal & Leisure",http://www.alltours.de
ALMIL,187,Bad Homburg,Wholesale,http://www.almil.de
ALNATURA BETEILIGUNGS,852,Darmstadt,Business Services,http://www.alnatura.de
ALPHABET FUHRPARKMANAGEMENT,2117,Muenchen,"Banking, Insurance & Financial Services",http://www.alphabet.de
ALPINE ELECTRONICS (EUROPE),886,Unterschleissheim,Wholesale,http://www.alpine.com
ALPINE ELECTRONICS,883,Unterschleissheim,Computer Software,http://www.alpine.de
ALPS ALPINE EUROPE,683,Unterschleissheim,Wholesale,http://www.alps-europe.com
ALSO DEUTSCHLAND,3855,Soest,Wholesale,http://www.also.com
ALSTOM TRANSPORT DEUTSCHLAND,777,Salzgitter,Transport Manufacturing,http://www.alstom.com
GE GRID,481,Frankfurt,"Industrial, Electric & Electronic Machinery",http://www.alstom.de
ALSTRIA OFFICE REIT-,229,Hamburg,Property Services,http://www.alstria.de
ALTANA,2364,Wesel,"Chemicals, Petroleum, Rubber & Plastic",http://www.altana.com
ALTE LEIPZIGER VERSICHERUNG,374,Oberursel,"Banking, Insurance & Financial Services",http://www.alte-leipziger.de
"ALTENLOH, BRINCK & CO.",335,Ennepetal,Business Services,http://www.altenloh.com
ALUMINIUM NORF GESELLSCHAFT MIT BESCHRAENKTER,450,Neuss,Metals & Metal Products,http://www.alunorf.de
ALUPLAST HOLDING,352,Ettlingen,"Banking, Insurance & Financial Services",http://www.aluplast.net
ALZCHEM GROUP,378,Trostberg,"Industrial, Electric & Electronic Machinery",http://www.alzchem.com
AMADEUS DATA PROCESSING,519,Erding,Computer Software,http://www.amadeus.com
AMADEUS FIRE,233,Frankfurt,Business Services,http://www.amadeus-fire.de
AMAZON ONLINE GERMANY,854,Muenchen,Computer Software,http://www.amazon.de
AMAZONEN-WERKE H.DREYER &CO.KG,534,Hasbergen,"Industrial, Electric & Electronic Machinery",http://www.amazone.de
