external_job_id,canonical_job_id,in_head
c618a6c4-9f7f-4dd1-ac2b-0464c9ce3c92,canonical_job_a1add65d0bdc4223aa4855e33f952bb0,1
07a32c31-a3b4-43f8-b1af-5b02c2768eef,canonical_job_0457a678408e4695b746091254505fba,1
c087ac46-54ac-4227-b9ef-5a377c35b9ab,canonical_job_033511d8f3f34380af24957828333c23,0
265b07c6-4844-4417-98fa-bc2e10d28c81,canonical_job_ccf55019a74d4b01b90d8aa3366eae22,1
6a23dfd1-d5c1-417d-a9bb-d26013c34f29,canonical_job_743e2501d2394f7eb1514b676395e97d,1
346f0018-817d-45f4-9b38-4dc7f5b1bff0,canonical_job_b834516890a6417f9fc8054f43707cfb,0
a993b8ed-d6ba-438f-937d-bbf92e8ce963,canonical_job_163b81a1c3564592b610d1c2a06e8c6d,0
9f973383-01ca-4ac0-a2a8-7891b08246b2,canonical_job_cd17f66bf4454a39b03d9fc0ed698999,0
ad179f23-b782-4956-aed1-8a0256ed0df2,canonical_job_2e91dde6eb4d405099b291e20a842bd7,1
27ff5617-d21b-439d-961e-02610d974690,canonical_job_d89600876cdd448a89009d5fd0752964,1
b241c1e7-ca54-40d4-adb9-cf35d7fbaf3b,canonical_job_39312329ddbb46748b2352bb20488d77,1
b6954588-bcb3-4c0b-9cae-db2164c520f5,canonical_job_546fa98f63ee4926b39c094dafb39c09,1
73b520ea-cca1-4b29-a9af-ddce38780c90,canonical_job_a6e32cf8520c4d0c81ee1b9009361305,1
88feecdd-c4dc-410b-9e8f-bd87953240a6,canonical_job_767e822cbc22413294bd2ef03fd60b1a,0
694b8f90-e783-4aa6-af36-ba7bfb3c974f,canonical_job_ed596e74a59940f3aa271d3d66f4d607,1
564e03fe-3419-40e7-8b4a-6e229b323ca6,canonical_job_9dabd9355d994ee38f28c2f02c8f13a5,1
c866041f-23c7-47b6-8f0f-de9ffb545146,canonical_job_11cb2d4ce3f243038b789ccca517810e,1
e974fc35-6b65-40ea-9704-3f0c5caeef78,canonical_job_4fa3b62128d84195979f5b739093ae91,1
5e14a22e-5ebb-485b-b148-1b9af971d418,canonical_job_1f38e88089704cae9a0197811008b150,0
043279bd-c543-4e54-bffa-094c77f4c97b,canonical_job_69710e8f6e4d4476b8255e503807ca02,0
522a932c-8009-4e1a-87b8-970b9d33066b,canonical_job_57438eb3ddb84b6b9153f765bd40e712,1
53f5103c-e7eb-4b7f-baa4-777968faf405,canonical_job_c35afd9493d2481f84719afa01eb6997,1
9eb1aac8-7f5e-4b62-b0dc-c5759256a793,canonical_job_a151b334e60042c68e2e96bf0248ba09,1
b6fe585e-008b-4eba-9f78-930ad268ef8a,canonical_job_a996298f05c94fecaf6d0d281eb89c74,1
8944a7f7-97c4-4323-983c-22d2a894ab77,canonical_job_181c9d1ee73e4235835c7bd8a86de337,1
a2a71652-40f6-4c1a-8ae1-90127e0ce1cf,canonical_job_f9eac48ebcde4d698454247c5f9a08a7,1
19404ce8-0ac7-4f1b-939a-b322f0c9eefb,canonical_job_dbf7184be6174e048d0beeb251cb4868,1
7c6908ae-fa05-49a2-8680-ca1aeb885460,canonical_job_9b7796def4674d23ad30903fd5b19cc2,1
c73e81ef-aeb0-4785-b0da-f0902f91272e,canonical_job_79eb156f33e34396bf675154349f7d23,1
093561cd-c106-4743-bf06-a2c08ae33088,canonical_job_c09fbb19489d4020bb33f07d2a55aade,1
0f7c86d3-c27e-4dd3-880e-c3f64a4c7d3b,canonical_job_b53994fd83cf47e0820ca6aa7d3538b4,1
e0ee4eec-bac4-4d92-87b6-8816a0c91580,canonical_job_7b187c8ea15d4cbfb63aa639e1347a9c,1
7962618,canonical_job_9eccf5db23684f2c8884fe4d1582d04e,0
7962721,canonical_job_7ec6d4ca52514fa382d47826159b3fba,0
8105089,canonical_job_c79debe232ce4e9f8f7328b99c25b4d0,1
8112497,canonical_job_52a4f87b7dd64625a03d9b8003515283,1
8025909,canonical_job_64dcca4fe6964a2bba5078d6b2f894c4,1
8108409,canonical_job_edf861ea5f4343529477c1ea8ea106e5,1
8111543,canonical_job_b385274653e74ef5ac651e35856a259a,1
8104950,canonical_job_8869b079c7434ae2963304ad327784f5,0
8104979,canonical_job_0fc9086b0ba848848a5d1e4d718f1633,1
