company_id,canonical_name,entity_kind,provenance_url,created_at,updated_at,primary_url,primary_url_count,url_count,profile_present,profile_status,profile_json_present,logo_object_key_present,logo_verified_at,identity_key_count,identity_evidence_count,review_evidence_count,job_count_all,job_count_head,canonical_ready,presentation_ready,enrichment_complete,blockers
canonical_company_306e1f94243145d0a84f8344d7460ae5,BESTSELLER TEXTILHANDELS,employer,https://bestseller.com/careers,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://bestseller.com/careers,1,1,True,incomplete,True,False,,1,1,0,0,0,True,True,False,['missing_verified_logo']
canonical_company_3074d5d6309f4661a4e030a05591fd61,GONVAUTO THUERINGEN,employer,https://gonvauto.de/karriere.html,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://gonvauto.de/karriere.html,1,1,True,incomplete,True,True,2026-08-15T12:01:28.188415+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_309ca65db02140449e3c3a6551caa6ce,ABG FRANKFURT HOLDING WOHNUNGSBAU- UND BETEILIGUNGSGES.M.B.H.,employer,https://abg.de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://abg.de/karriere,1,1,True,incomplete,True,True,2026-08-15T21:10:49.815468+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_30bc36aca1ee41779be300e30d12fc7c,WINCOR NIXDORF INTERNATIONAL,employer,https://dieboldnixdorf.com/career,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://dieboldnixdorf.com/career,1,1,True,incomplete,True,False,,1,1,0,0,0,True,True,False,['missing_verified_logo']
canonical_company_30cf54749917418fb3e4f4905c1f6d9e,BIRKENSTOCK,employer,https://birkenstock.com/de,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://birkenstock.com/de,1,1,True,absent,True,False,,1,1,0,0,0,True,True,False,['missing_verified_logo']
canonical_company_30d76a89483f4c899e0720f135e4a44b,KARL MAYER HOLDING,employer,https://karlmayer.com/de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://karlmayer.com/de/karriere,1,1,True,incomplete,True,True,2026-08-15T12:01:33.151290+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_3103ec45c4524e238b2342253aae0120,A. KAYSER TEXTILE FILTERMEDIEN,employer,https://kayser-filtertech.com/de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://kayser-filtertech.com/de/karriere,1,1,True,incomplete,True,True,2026-08-15T12:43:39.342676+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_3108643a8ace4620a870d4d7e050f520,HARRY-BROT,employer,https://harry-brot.de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://harry-brot.de/karriere,1,1,True,incomplete,True,True,2026-08-15T19:07:44.135447+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31860254e27547e3a9de3b1076fab562,KHD HUMBOLDT WED INTERNATIONAL,employer,https://khd.com/career,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://khd.com/career,1,1,True,incomplete,True,True,2026-08-15T12:58:44.035194+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_3186c9716543469a868c1fec5e2227c2,MEDIOS,employer,https://career.medios.group/,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://career.medios.group/,1,1,True,incomplete,True,True,2026-08-15T19:25:51.108686+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31905d4a13eb4c088b6bb2e36e77c99d,MODINE EUROPE,employer,https://careers.modine.com/,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://careers.modine.com/,1,1,True,incomplete,True,True,2026-08-15T19:05:35.993444+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31c92ca093d34cb8b4ec2e83676281b0,PEPPERL+FUCHS,employer,https://pepperl-fuchs.com/de-de/karriere-gp25551,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://pepperl-fuchs.com/de-de/karriere-gp25551,1,1,True,incomplete,True,True,2026-08-15T21:11:10.290413+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31cc78f102384b56af7b0ed51f37df29,GESOBAU,employer,https://gesobau.de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://gesobau.de/karriere,1,1,True,incomplete,True,True,2026-08-15T21:11:31.250732+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31eed1e188584821a8afcb562e43c504,KONICA MINOLTA BUSINESS SOLUTIONS EUROPE,employer,https://konicaminolta.de/de-de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://konicaminolta.de/de-de/karriere,1,1,True,incomplete,True,True,2026-08-15T21:11:51.976589+00:00,1,1,0,0,0,True,True,True,[]
canonical_company_31f52fa5e76347e7afd2e1dd224a39a0,BREMER,employer,https://bremerbau.de/de/karriere,2026-08-15T11:39:46.050997+00:00,2026-08-15T11:39:46.050997+00:00,https://bremerbau.de/de/karriere,1,1,True,incomplete,True,True,2026-08-15T21:11:51.879561+00:00,1,1,0,0,0,True,True,True,[]
